Criterion,0,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,6d,6e,6f,6g,7a,7b,7c,8a,8b,8c,8d,9a,9b,9c,9d,9e,10a,10b,10c
0,0.525,-0.004,0.08,-0.008,-0.079,-0.051,0.053,0.065,0.081,-0.013,0.038,0.033,0.056,-0.245,-0.044,-0.065,0.068,0.04,0.033,0.027,0.085,0.028,0.058,-0.014,-0.017,-0.021,-0.045,0.036,0.073,-0.01,-0.017,0.033,0.082,0.02,0.044,-0.013,-0.007,-0.028
1a,-0.004,0.127,0.69,0.56,0.374,0.438,0.089,0.497,0.42,0.208,0.411,0.448,0.043,0.136,0.19,0.171,-0.01,-0.01,-0.033,0.016,0.148,0.054,0.061,0.042,0.133,0.082,0.072,0.268,0.264,0.235,0.018,0.224,-0.073,0.132,0.061,0.67,0.529,0.536
1b,0.08,0.69,-0.01,0.467,0.325,0.455,0.154,0.371,0.266,0.185,0.382,0.36,0.085,0.066,0.185,0.178,0.022,0.001,-0.032,0.008,0.107,0.089,0.122,0.036,0.081,0.094,0.021,0.195,0.199,0.181,0.007,0.142,-0.044,0.085,0.024,0.443,0.513,0.33
1c,-0.008,0.56,0.467,-0.075,0.282,0.275,0.093,0.209,0.191,0.263,0.35,0.302,0.112,0.159,0.188,0.148,-0.037,-0.001,-0.03,0.025,0.094,0.062,0.05,0.084,0.157,0.112,-0.03,0.127,0.045,0.049,0.085,0.177,-0.021,0.086,0.095,0.398,0.326,0.577
2a,-0.079,0.374,0.325,0.282,0.101,0.64,0.139,0.326,0.298,0.086,0.336,0.382,-0.023,0.26,0.325,0.29,-0.047,-0.053,-0.072,-0.052,0.089,0.045,0.023,0.01,0.045,-0.044,-0.005,0.192,0.135,0.17,-0.055,0.08,-0.061,0.013,-0.046,0.519,0.436,0.338
2b,-0.051,0.438,0.455,0.275,0.64,-0.048,0.114,0.459,0.505,0.15,0.405,0.467,-0.051,0.31,0.394,0.391,0.037,0.03,-0.011,0.013,0.171,0.079,0.048,0.043,0.11,0.044,0.081,0.362,0.286,0.322,-0.027,0.112,-0.046,0.054,0.014,0.556,0.597,0.395
2c,0.053,0.089,0.154,0.093,0.139,0.114,0.026,-0.039,-0.094,-0.014,-0.032,-0.042,0.068,0.03,0.119,0.005,-0.07,-0.092,-0.1,-0.095,-0.027,-0.078,0.058,-0.021,-0.057,-0.045,-0.06,-0.049,-0.083,-0.047,-0.062,-0.04,-0.079,-0.137,-0.063,0.127,0.121,0.118
3a,0.065,0.497,0.371,0.209,0.326,0.459,-0.039,0.054,0.75,0.312,0.501,0.497,0.061,0.169,0.255,0.343,0.067,0.112,0.087,0.101,0.294,0.166,0.015,0.139,0.203,0.043,0.103,0.338,0.375,0.356,0.089,0.294,0.066,0.26,0.165,0.527,0.502,0.43
3b,0.081,0.42,0.266,0.191,0.298,0.505,-0.094,0.75,0.065,0.122,0.505,0.598,0.005,0.217,0.352,0.462,0.114,0.167,0.148,0.156,0.314,0.185,-0.009,0.2,0.246,0.085,0.176,0.443,0.47,0.511,0.092,0.312,0.069,0.283,0.201,0.506,0.48,0.414
3c,-0.013,0.208,0.185,0.263,0.086,0.15,-0.014,0.312,0.122,0.027,0.086,0.012,0.297,0.053,0.076,-0.005,0.006,0.027,0.041,0.028,0.076,-0.041,-0.065,-0.014,-0.046,-0.002,0.057,-0.027,0.011,0.032,0.038,0.087,-0.03,0.039,0.089,0.204,0.217,0.31
