h_index_first_au,h_index_first_au_SCOPUS
22,25
18,20
6,15
54,46
15,15
14,16
6,7
23,10
15,16
3,4
38,37
14,15
7,7
12,13
9,10
22,23
9,10
8,9
9,9
6,9
1,4
2,3
1,1
7,7
12,13
6,6
1,3
1,1
0,0
179,177
92,97
15,16
89,97
8,13
87,86
5,5
19,15
3,3
3,3
23,28
33,10
26,21
17,17
10,7
11,10
24,23
31,33
24,25
19,20
6,6
33,33
7,9
22,19
16,15
8,7
2,3
16,16
4,4
15,17
6,6
15,14
9,8
1,1
1,1
10,11
38,38
4,3
2,2
18,11
7,7
30,29
54,54
51,49
102,104
51,51
29,26
7,5
19,19
10,10
32,32
12,12
6,11
30,36
30,33
5,6
14,12
34,34
19,20
13,15
11,11
20,21
15,17
38,43
13,13
10,4
43,45
5,6
10,11
2,2
2,2
3,3
0,6
0,4
21,21
7,8
3,3
4,10
4,5
15,14
19,19
25,24
3,3
3,4
4,4
19,2
1,3
1,8
2,3
5,4
5,4
48,43
76,92
19,19
15,15
54,35
44,43
36,10
1,1
22,21
18,7
33,32
1,1
11,13
28,29
26,23
14,16
6,5
3,2
50,56
