issn,journal,publication_year,JIF_OA,JIF_Clarivate
0022-3506,Journal of Personality,2021,5.3,5.429
0022-3514,Journal of Personality and Social Psychology,2017,8.8,5.733
0022-3514,Journal of Personality and Social Psychology,2018,7.7,5.919
0022-3514,Journal of Personality and Social Psychology,2021,10,8.46
0027-3171,Multivariate Behavioral Research,2019,3.1,2.75
0033-2909,Psychological Bulletin,2020,20.6,17.737
0092-6566,Journal of Research in Personality,2017,3.9,2.85
0092-6566,Journal of Research in Personality,2019,3.5,2.767
0092-6566,Journal of Research in Personality,2020,3.9,3.068
0146-1672,Personality and Social Psychology Bulletin,2021,4.4,4.56
0160-2896,Intelligence,2016,3.8,3.118
0167-4870,Journal of Economic Psychology,2021,3.1,3
0195-6663,Appetite,2018,4.2,3.501
0749-5978,Organizational Behavior and Human Decision Processes,2018,3.9,2.908
0890-2070,European Journal of Personality,2018,3.5,3.329
0890-2070,European Journal of Personality,2020,6.3,5.838
0890-2070,European Journal of Personality,2021,5.7,7
0956-7976,Psychological Science,2017,7.4,6.128
1082-989X,Psychological Methods,2021,14.1,10.929
1664-1078,Frontiers in Psychology,2017,2.2,2.089
1745-6916,Perspectives on Psychological Science,2020,13.1,9.837
1754-0739,Emotion Review,2021,5.4,7.345
1931-3896,"Psychology of Aesthetics, Creativity, and the Arts",2021,8.6,6.395
2045-2322,Scientific Reports,2018,4.4,4.011
2151-2604,Zeitschrift Fur Psychologie-journal of Psychology,2018,1.1,1.183
2151-2604,Zeitschrift Fur Psychologie-journal of Psychology,2021,2.4,2.828
2515-2459,Advances in methods and practices in psychological science,2021,15.9,15.817
